date,open,high,low,close,volume,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume
2017-08-17,301.13,312.18,298.0,302.0,7030.71034,2154655.3003566,4522,6224.58999
2017-08-18,302.0,311.79,283.94,293.96,9537.84646,2858946.5093539,5658,7452.43542
2017-08-19,293.31,299.9,278.0,290.91,2146.19773,620022.5898617,1795,1537.9755
2017-08-20,289.41,300.53,282.85,299.1,2510.13871,742847.8945599,2038,2186.68739
2017-08-21,299.1,346.52,294.6,323.29,5219.44542,1689472.341214,3925,4004.19967
2017-08-22,321.04,330.41,144.21,309.8,7956.35088,2454425.8033137,6577,4433.78132
2017-08-23,312.25,324.99,309.41,315.74,8665.72569,2753464.9450408,8540,2282.23633
2017-08-24,315.74,328.04,314.01,323.42,6753.27192,2159417.1141537,6495,1901.90029
2017-08-25,323.42,338.28,323.42,327.24,7125.96962,2354162.038294,7452,2595.82561
2017-08-26,327.24,335.44,323.41,330.79,4877.68521,1601994.3773166,4400,941.99655
2017-08-27,332.18,348.13,330.73,348.13,4635.43715,1554477.3581603,4973,1166.20029
2017-08-28,348.11,351.0,331.95,346.0,4279.1817,1463758.1691041,4526,1114.26279
2017-08-29,347.0,377.6,346.0,374.7,3032.13425,1102069.6205809,3265,923.16784
2017-08-30,374.7,393.71,362.05,385.93,4446.59608,1679526.2125115,4812,1285.37799
2017-08-31,384.64,389.36,377.78,384.79,4435.86855,1704441.3942666,4574,1432.19381
2017-09-01,386.44,394.39,383.18,388.46,4198.68434,1635227.6137661,4124,1564.05531
2017-09-02,388.58,394.32,320.08,343.14,8240.32724,2904008.4613861,8217,2460.66776
2017-09-03,343.56,367.28,320.08,341.77,5253.62211,1801702.6178029,6153,2240.91753
2017-09-04,339.29,344.55,267.94,283.77,6737.81061,2002446.181802,7403,2954.16805
2017-09-05,286.81,321.52,235.55,312.09,8344.41924,2397490.9178386,8999,4312.97282
2017-09-06,313.29,336.34,312.09,335.0,5486.30988,1793962.8584994,7089,2183.65363
2017-09-07,335.01,342.5,320.17,334.49,3103.89745,1027135.6869524,2635,1321.09841
2017-09-08,334.49,335.1,272.0,302.99,4915.75693,1494309.8866163,3227,2306.94838
2017-09-09,300.01,307.0,281.66,296.74,2740.58822,813750.3589359,1956,1755.91508
2017-09-10,296.72,302.78,261.03,293.5,4156.45099,1181903.7721999,2494,2282.40311
2017-09-11,293.51,304.98,285.21,297.3,4829.64647,1436811.8161569,3490,2412.24221
2017-09-12,297.78,316.46,286.01,293.96,5176.31402,1573452.4124519,5279,2207.60465
2017-09-13,293.93,294.5,257.05,276.91,6451.22836,1761080.8976069,4527,3264.55673
2017-09-14,275.76,283.77,215.0,215.21,12601.95676,3110767.7805647,8166,4455.23882
2017-09-15,217.0,270.93,192.0,253.0,14223.8953,3319311.826735,9198,5945.8076
2017-09-16,255.99,271.81,235.51,249.31,10362.06011,2647152.3723708,8859,3866.60141
2017-09-17,249.32,264.39,239.02,257.55,4614.53337,1149704.2949294,5277,1442.00382
2017-09-18,257.53,306.22,257.11,294.57,4125.97051,1182937.633574,3440,2342.68408
2017-09-19,296.0,300.0,277.41,284.0,1869.90852,535773.5652001,1896,789.82937
2017-09-20,284.01,294.0,275.91,282.0,1060.56734,302739.7337531,1431,566.64637
2017-09-21,285.1,287.0,252.1,257.0,1912.55583,516193.1970608,2751,579.77742
2017-09-22,258.0,272.97,253.01,264.0,1464.5125,382962.217943,2144,612.61937
2017-09-23,259.99,286.23,255.11,285.93,2824.33572,788810.3244239,3901,841.43467
2017-09-24,286.5,294.61,275.0,282.0,5575.54422,1582877.4871329,8022,1314.52754
2017-09-25,282.0,299.0,281.34,294.42,5870.48035,1705551.9921018,9165,1950.58866
2017-09-26,294.42,296.81,286.24,287.9,4566.92804,1332125.1654396,7329,1073.93969
2017-09-27,289.91,313.0,286.13,309.74,5518.10382,1641896.8743651,8208,1276.45702
2017-09-28,309.81,311.81,296.89,302.44,6600.90922,2009233.8887105,10534,2210.54916
2017-09-29,302.44,303.0,274.0,292.22,11089.19902,3213725.0903979,13098,5176.62946
2017-09-30,292.62,307.49,292.22,304.36,4020.60795,1214456.8380462,8168,1645.11941
2017-10-01,305.13,306.0,294.0,303.95,5060.05758,1518988.30299,8900,1496.73509
2017-10-02,303.94,305.0,295.0,296.5,3710.83747,1116501.2248122,7454,1398.52021
2017-10-03,298.15,301.99,283.18,292.48,5546.85702,1622460.7267746,9327,2105.27684
2017-10-04,292.47,297.97,288.0,291.99,4014.88792,1176260.2171869,7233,2030.795
2017-10-05,290.0,297.44,285.53,294.81,3412.39016,994768.4954065,6125,1684.82069
2017-10-06,294.78,310.8,293.78,310.8,3541.02359,1063779.3539251,6064,1965.17959
2017-10-07,309.9,318.5,303.6,311.01,2165.79076,672026.6685328,4289,1031.34817
2017-10-08,311.08,317.07,309.0,311.07,2960.93198,923989.787554,6247,1069.23508
2017-10-09,311.13,312.13,286.65,297.19,4885.37863,1462524.6249531,8680,1575.93338
2017-10-10,297.35,308.56,293.0,298.64,6749.27468,2028540.4729273,9392,3979.8636
2017-10-11,300.88,305.5,298.02,304.01,3724.6863,1125331.5033572,4079,1923.79902
2017-10-12,304.01,310.0,302.71,303.99,7827.75596,2397065.1633671,4956,3436.20226
2017-10-13,303.52,353.96,297.0,337.96,17925.36585,5832987.2559101,9898,7538.17104
2017-10-14,337.96,349.8,335.0,342.0,7731.96469,2655702.1145455,5703,3790.50687
2017-10-15,342.0,348.0,316.17,337.96,10011.34708,3326752.5971166,6822,4957.44824
2017-10-16,337.5,354.0,332.78,335.19,8663.47097,2956522.0417874,6586,4424.03339
2017-10-17,335.18,336.58,312.65,315.19,8146.74356,2638150.8892904,6837,3297.06736
2017-10-18,315.19,318.0,284.68,309.7,12908.0454,3915770.1544675,9801,6592.08304
2017-10-19,311.52,315.0,300.0,308.66,8678.74739,2675399.8602425,6769,4110.58984
2017-10-20,308.66,311.18,302.0,304.51,8739.31764,2667391.8997551,6812,3042.73881
2017-10-21,304.51,305.34,290.0,298.94,8591.63121,2558677.4115428,6343,4286.76965
2017-10-22,298.99,306.99,290.0,293.79,7173.06893,2120546.5470225,5828,3305.51785
2017-10-23,293.78,294.6,272.2,281.09,9658.78404,2743010.9877028,6524,5255.49466
2017-10-24,282.27,310.0,275.5,297.38,14066.67924,4253110.3195806,8026,8185.36518
2017-10-25,295.43,300.0,281.0,294.49,9703.09261,2840747.3846263,6796,4062.96246
2017-10-26,294.1,299.76,291.03,294.71,7813.02717,2306446.3337328,6557,3502.44576
2017-10-27,294.72,298.1,292.03,296.33,6272.14802,1852704.4161056,5899,2478.34843
2017-10-28,296.14,297.0,290.1,291.87,5848.86589,1715796.7941936,5589,2343.52663
2017-10-29,291.86,309.4,291.86,305.0,9019.13315,2716332.8153886,6947,3673.09724
2017-10-30,305.0,316.0,302.1,307.25,8946.12026,2751568.6365363,6421,4751.89487
2017-10-31,305.95,309.99,304.01,304.9,7640.41182,2347542.8648317,7744,3070.74748
