symbol,fold,train_n,train_start,train_end,last_train_label,test_start,test_end,test_n,excluded_rows
BTCUSDT,0,1000,2017-10-16,2020-07-11,2020-07-12,2020-07-17,2021-03-23,250,5
BTCUSDT,1,1250,2017-10-16,2021-03-18,2021-03-19,2021-03-24,2021-11-28,250,5
BTCUSDT,2,1500,2017-10-16,2021-11-23,2021-11-24,2021-11-29,2022-08-05,250,5
BTCUSDT,3,1750,2017-10-16,2022-07-31,2022-08-01,2022-08-06,2023-04-12,250,5
BTCUSDT,4,2000,2017-10-16,2023-04-07,2023-04-08,2023-04-13,2023-12-18,250,5
BTCUSDT,5,2250,2017-10-16,2023-12-13,2023-12-14,2023-12-19,2024-08-24,250,5
BTCUSDT,6,2500,2017-10-16,2024-08-19,2024-08-20,2024-08-25,2025-05-01,250,5
BTCUSDT,7,2750,2017-10-16,2025-04-26,2025-04-27,2025-05-02,2026-01-06,250,5
BTCUSDT,8,3000,2017-10-16,2026-01-01,2026-01-02,2026-01-07,2026-03-30,83,5
ETHUSDT,0,1000,2017-10-16,2020-07-11,2020-07-12,2020-07-17,2021-03-23,250,5
ETHUSDT,1,1250,2017-10-16,2021-03-18,2021-03-19,2021-03-24,2021-11-28,250,5
ETHUSDT,2,1500,2017-10-16,2021-11-23,2021-11-24,2021-11-29,2022-08-05,250,5
ETHUSDT,3,1750,2017-10-16,2022-07-31,2022-08-01,2022-08-06,2023-04-12,250,5
ETHUSDT,4,2000,2017-10-16,2023-04-07,2023-04-08,2023-04-13,2023-12-18,250,5
ETHUSDT,5,2250,2017-10-16,2023-12-13,2023-12-14,2023-12-19,2024-08-24,250,5
ETHUSDT,6,2500,2017-10-16,2024-08-19,2024-08-20,2024-08-25,2025-05-01,250,5
ETHUSDT,7,2750,2017-10-16,2025-04-26,2025-04-27,2025-05-02,2026-01-06,250,5
ETHUSDT,8,3000,2017-10-16,2026-01-01,2026-01-02,2026-01-07,2026-03-30,83,5
DOGEUSDT,0,1000,2019-09-03,2022-05-29,2022-05-30,2022-06-04,2023-02-08,250,5
DOGEUSDT,1,1250,2019-09-03,2023-02-03,2023-02-04,2023-02-09,2023-10-16,250,5
DOGEUSDT,2,1500,2019-09-03,2023-10-11,2023-10-12,2023-10-17,2024-06-22,250,5
DOGEUSDT,3,1750,2019-09-03,2024-06-17,2024-06-18,2024-06-23,2025-02-27,250,5
DOGEUSDT,4,2000,2019-09-03,2025-02-22,2025-02-23,2025-02-28,2025-11-04,250,5
DOGEUSDT,5,2250,2019-09-03,2025-10-30,2025-10-31,2025-11-05,2026-03-30,146,5
